,articleTitle,abstract,publicationYear,doi,source
0,Towards Intelligent Training Systems for Customer Service,"[::Customer service::] is very important in many industrial fields, and the service [::quality::] is most essential. However, [::customer service::] practitioners are with a high turnover rate, and it usually takes months for a new [::customer service::] employee to be an experienced one. If the training of new employees is conducted by other experienced employees, there will be a high resource co...",2023.0,10.1109/SMC53992.2023.10394182,IEEE
1,IoT Sensor Selection in Cyber-Physical Systems: Leveraging Large Language Models as Recommender Systems,"The emergence of Industry 4.0 has led a significant shift towards the widespread integration of Cyber Physical Systems(CPSs) across diverse industrial domains. Yet, the intricate design and implementation of these systems necessitate adept knowledge and expertise, posing challenges for researchers and engineers. In response, this paper introduces IoT-AID, a Cyber Physical Recommendation System aim...",2024.0,10.1109/CoDIT62066.2024.10708357,IEEE
2,TELLM: Advancements in Knowledge Incorporation and Task-specific Enhancements of Large Language Models,"[::Customer service::] is crucial for any business to maintain good customer relationships and growth. However, addressing a wide variety of customer inquiries often requires deep domain expertise that may not be readily available. This paper presents TELLM, a [::customer service::] AI agent leveraging large [::language models::] to provide technical support for telecom companies. TELLM is trained...",2024.0,10.1109/ICEE63041.2024.10667786,IEEE
3,Beyond Scale: Deductive Reasoning Capabilities in Large Language Models Through the Lens of the Wason Selection Task,"Large [::Language Models::] ([::LLMs::]) have demonstrated remarkable capabilities in various natural language processing tasks, garnering significant public interest, but their ability to perform deductive reasoning remains an open question. Understanding the [::quality::] of answers generated by [::language models::] is of increasing importance as they are becoming applied to real-world applicat...",2024.0,10.1109/WNYISPW63690.2024.10786497,IEEE
4,A Chatbot for Learning and Life Guide in the University Based on LangChain+ChatGLM,"With the continuous development of natural language processing technology, driven by the integration of large [::language models::], [::customer service::] artificial intelligence chatbots are developing in great strides, and have been involved and well applied in many fields. This project selects all kinds of school life and learning consultation based on the student handbook and curriculum arran...",2024.0,10.1109/SEAI62072.2024.10674054,IEEE
5,D-Score: Holistic Dialogue Evaluation Without Reference,"In artistic gymnastics, difficulty score or D-score is used for judging performance. Starting from zero, an athlete earns points from different aspects such as composition requirement, difficulty, and connection between moves. The final score is a composition of the [::quality::] of various performance indicators. Similarly, when evaluating dialogue responses, human judges generally follow a numbe...",2021.0,10.1109/TASLP.2021.3074012,IEEE
6,Leveraging Large Language Models: Enhancing Retrieval-Augmented Generation with ScaNN and Gemma for Superior AI Response,"Retrieval-Augmented Generation (RAG) systems are increasingly vital in developing AI assistants capable of answering complex queries by combining retrieval and generation capabilities. However, existing RAG systems often face limitations in retrieval efficiency, scalability, and the contextual relevance of generated responses. This study presents an enhanced RAG system that integrates the Scalable...",2024.0,10.1109/ICMLCA63499.2024.10753879,IEEE
7,Correcting Factuality Hallucination in Complaint Large Language Model via Entity-Augmented,"Complaint Large Language Model (Complaint-LLM) is designed as a &#34;[::customer service::]&#34; tool to address the scenario of handling a massive volume of public complaints, effectively leveraging the &#34;common sense&#34; possessed by Large [::Language Models::] ([::LLMs::]) to solve issues. Unfortunately, pre-trained [::LLMs::] often exhibit significant Factual Hallucination and Causal Errors in knowledge d...",2024.0,10.1109/IJCNN60899.2024.10650208,IEEE
8,Generating Rate Features for Mobile Applications,"Mobile application (app) stores employ standardized mechanisms for rating hosted apps, typically in the form of free text reviews and numerical rating scales. App users use these mechanisms to express their opinions about their apps and discover apps that fit their specific needs. However, existing app rating systems do not take into account the operational characteristics of application domains. ...",2024.0,,IEEE
9,The Text Analysis Framework for Interactive Statistical Classification Service,"Statistical classification serves as the basis of national statistics such as the population census and economic census. Not only is it being used as the main basics for national policy establishment and execution (e.g SME support and employment stability), it is also used as a major classification criterion from the perspective of corporate analysis services such as economic, company, investment....",2022.0,10.1109/BigComp54360.2022.00092,IEEE
