,articleTitle,publicationYear,doi,abstract,source
0,Discovering patterns and trends in customer service technologies patents using large language model,2024,10.1016/j.heliyon.2024.e34701,,ScienceDirect
1,“Can Popular AI Large Language Models Provide Reliable Answers to Frequently Asked Questions About Rotator Cuff Tears?”,2024,10.1016/j.jseint.2024.11.012,,ScienceDirect
2,Integrating human expertise & automated methods for a dynamic and multi-parametric evaluation of large language models’ feasibility in clinical decision-making,2024,10.1016/j.ijmedinf.2024.105501,,ScienceDirect
3,Responsible Use of Large Language Models: An Analogy with the Oxford Tutorial System,2024,10.1016/j.sheji.2024.11.001,,ScienceDirect
4,Harnessing large language models to auto-evaluate the student project reports,2024,10.1016/j.caeai.2024.100268,,ScienceDirect
5,The performance of artificial intelligence-based large language models on ophthalmology-related questions in Swedish proficiency test for medicine: ChatGPT-4 omni vs Gemini 1.5 Pro,2024,10.1016/j.ajoint.2024.100070,,ScienceDirect
6,A prototype of a conversational virtual university support agent powered by a large language model that addresses inquiries about policies in the student handbook,2024,10.1016/j.procs.2024.06.278,,ScienceDirect
7,Unmasking large language models by means of OpenAI GPT-4 and Google AI: A deep instruction-based analysis,2024,10.1016/j.iswa.2024.200431,,ScienceDirect
8,A comprehensive evaluation of large Language models on benchmark biomedical text processing tasks,2024,10.1016/j.compbiomed.2024.108189,,ScienceDirect
9,Integrating local knowledge with ChatGPT-like large-scale language models for enhanced societal comprehension of carbon neutrality,2024,10.1016/j.egyai.2024.100440,,ScienceDirect
10,Large language models for air transportation: A critical review,2024,10.1016/j.jatrs.2024.100024,,ScienceDirect
11,Leveraging Large Language Models for Improved Understanding of Communications With Patients With Cancer in a Call Center Setting: Proof-of-Concept Study,2024,10.2196/63892,,ScienceDirect
12,"Generative AI and Large Language Models - Benefits, Drawbacks, Future and Recommendations",2024,10.1016/j.procs.2024.09.689,,ScienceDirect
13,Performance of Large Language Models in Patient Complaint Resolution: Web-Based Cross-Sectional Survey,2024,10.2196/56413,,ScienceDirect
14,Normalizing Swiss German Dialects with the Power of Large Language Models,2024,10.1016/j.procs.2024.10.202,,ScienceDirect
15,Unlocking employer insights: Using large language models to explore human-centric aspects in the context of industry 5.0,2024,10.1016/j.techfore.2024.123719,,ScienceDirect
16,Ontology-integrated tuning of large language model for intelligent maintenance,2024,10.1016/j.cirp.2024.04.012,,ScienceDirect
17,Claude Rules: An Evaluation of Large Language Models’ Applicability to Solve Cases in German Business Law,2024,10.1016/j.procs.2024.09.406,,ScienceDirect
18,"An Adversarial Machine Learning Approach on Securing Large Language Model with Vigil, an Open-Source Initiative",2024,10.1016/j.procs.2024.09.486,,ScienceDirect
19,Questionable devices: Applying a large language model to deliberate carbon removal,2024,10.1016/j.envsci.2024.103940,,ScienceDirect
20,LLMs in e-commerce: A comparative analysis of GPT and LLaMA models in product review evaluation,2024,10.1016/j.nlp.2024.100056,,ScienceDirect
21,How Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education and Knowledge Assessment,2023,10.2196/45312,,ScienceDirect
22,Customer service chatbot enhancement with attention-based transfer learning,2024,10.1016/j.knosys.2024.112293,,ScienceDirect
23,Arabic sarcasm detection: An enhanced fine-tuned language model approach,2024,10.1016/j.asej.2024.102736,,ScienceDirect
24,Considerations for adapting higher education technology courses for AI large language models: A critical review of the impact of ChatGPT,2024,10.1016/j.mlwa.2023.100513,,ScienceDirect
25,LeanContext: Cost-efficient domain-specific question answering using LLMs,2024,10.1016/j.nlp.2024.100065,,ScienceDirect
26,"LLM GPT-3.5 study for sentiment analysis across Utkarsh server, Ohio supercomputer, Google Colab and PC",2024,10.1016/j.rineng.2024.103218,,ScienceDirect
27,Framework for LLM applications in manufacturing,2024,10.1016/j.mfglet.2024.09.030,,ScienceDirect
28,Students' Use of the Artificial Intelligence Language Model in their Learning Process,2023,10.1016/j.procs.2023.10.299,,ScienceDirect
29,Enhancing Customer Support in Banking: Leveraging AI for Efficient Ticket Classification,2024,10.1016/j.procs.2024.09.235,,ScienceDirect
30,Preventing the Immense Increase in the Life-Cycle Energy and Carbon Footprints of LLM-Powered Intelligent Chatbots,2024,10.1016/j.eng.2024.04.002,,ScienceDirect
31,Classical Machine Learning and Large Models for Text-Based Emotion Recognition,2024,10.1016/j.procs.2024.08.013,,ScienceDirect
32,"The Three Sides of the Moon LLMs in Cybersecurity: Guardians, Enablers and Targets",2024,10.1016/j.procs.2024.09.653,,ScienceDirect
33,<ce:marker name=fnspdcst alt=Podcast altimg-small=fnspdcst_s.svg altimg=fnspdcst_o.svg></ce:marker>The promise and peril of using a large language model to obtain clinical information: ChatGPT performs strongly as a fertility counseling tool with limitations,2023,10.1016/j.fertnstert.2023.05.151,,ScienceDirect
34,Key technologies of artificial intelligence in electric power customer service,2021,10.1016/j.gloei.2022.01.005,,ScienceDirect
