,articleTitle,publicationYear,doi,abstract,source
0,"A survey on augmenting knowledge graphs (KGs) with large language models (LLMs): models, evaluation metrics, benchmarks, and challenges",2024,10.1007/s44163-024-00175-8,,SpringerLink
1,Analyzing evaluation methods for large language models in the medical field: a scoping review,2024,10.1186/s12911-024-02709-7,,SpringerLink
2,When large language models meet personalization: perspectives of challenges and opportunities,2024,10.1007/s11280-024-01276-1,,SpringerLink
3,Smart customer service in unmanned retail store enhanced by large language model,2024,10.1038/s41598-024-71089-9,,SpringerLink
4,Interactive computer-aided diagnosis on medical image using large language models,2024,10.1038/s44172-024-00271-8,,SpringerLink
5,"A phenomenology and epistemology of large language models: transparency, trust, and trustworthiness",2024,10.1007/s10676-024-09777-3,,SpringerLink
6,Bias of AI-generated content: an examination of news produced by large language models,2024,10.1038/s41598-024-55686-2,,SpringerLink
7,Reconciling the contrasting narratives on the environmental impact of large language models,2024,10.1038/s41598-024-76682-6,,SpringerLink
8,Evaluating large language models in analysing classroom dialogue,2024,10.1038/s41539-024-00273-3,,SpringerLink
9,An assessment of large language models for OpenMP-based code parallelization: a user perspective,2024,10.1186/s40537-024-01019-z,,SpringerLink
10,The Two Word Test as a semantic benchmark for large language models,2024,10.1038/s41598-024-72528-3,,SpringerLink
11,Accelerating materials language processing with large language models,2024,10.1038/s43246-024-00449-9,,SpringerLink
12,Sentiment Analysis in the Age of Generative AI,2024,10.1007/s40547-024-00143-4,,SpringerLink
13,LLM potentiality and awareness: a position paper from the perspective of trustworthy and responsible AI modeling,2024,10.1007/s44163-024-00129-0,,SpringerLink
14,Finance centralization—research on enterprise intelligence,2024,10.1057/s41599-024-04098-8,,SpringerLink
15,On-device query intent prediction with lightweight LLMs to support ubiquitous conversations,2024,10.1038/s41598-024-63380-6,,SpringerLink
16,Tc-llama 2: fine-tuning LLM for technology and commercialization applications,2024,10.1186/s40537-024-00963-0,,SpringerLink
17,Generative AI and Usage in Marketing Classroom,2024,10.1007/s40547-024-00145-2,,SpringerLink
18,Ethical considerations in working with ChatGPT on a questionnaire about the future of work with ChatGPT,2024,10.1007/s43681-023-00312-6,,SpringerLink
19,"Know Thyself, Improve Thyself: Personalized LLMs for Self-Knowledge and Moral Enhancement",2024,10.1007/s11948-024-00518-9,,SpringerLink
20,A multimodal approach to cross-lingual sentiment analysis with ensemble of transformer and LLM,2024,10.1038/s41598-024-60210-7,,SpringerLink
21,"Comparing the performance of ChatGPT-3.5-Turbo, ChatGPT-4, and Google Bard with Iranian students in pre-internship comprehensive exams",2024,10.1038/s41598-024-79335-w,,SpringerLink
22,The digital transformation of jurisprudence: an evaluation of ChatGPT-4’s applicability to solve cases in business law,2024,10.1007/s10506-024-09406-w,,SpringerLink
23,A novel solution for the development of a sentimental analysis chatbot integrating ChatGPT,2024,10.1007/s00779-024-01824-6,,SpringerLink
24,Understanding users’ responses to disclosed vs. undisclosed customer service chatbots: a mixed methods study,2024,10.1007/s00146-023-01818-7,,SpringerLink
25,Investigating the user experience of customer service chatbot interaction: a framework for qualitative analysis of chatbot dialogues,2021,10.1007/s41233-021-00046-5,,SpringerLink
26,Examining the Capabilities of GPT-4 to Write an APA-Style School Psychology Paper,2024,10.1007/s40688-024-00500-z,,SpringerLink
27,EmoTwiCS: a corpus for modelling emotion trajectories in Dutch customer service dialogues on Twitter,2024,10.1007/s10579-023-09700-0,,SpringerLink
28,"Business chatbots with deep learning technologies: state-of-the-art, taxonomies, and future research directions",2024,10.1007/s10462-024-10744-z,,SpringerLink
