,abstract,articleTitle,doi,publicationYear,source
0,"[::Customer service::] is very important in many industrial fields, and the service [::quality::] is most essential. However, [::customer service::] practitioners are with a high turnover rate, and it usually takes months for a new [::customer service::] employee to be an experienced one. If the training of new employees is conducted by other experienced employees, there will be a high resource co...",Towards Intelligent Training Systems for Customer Service,10.1109/SMC53992.2023.10394182,2023.0,IEEE
1,"The emergence of Industry 4.0 has led a significant shift towards the widespread integration of Cyber Physical Systems(CPSs) across diverse industrial domains. Yet, the intricate design and implementation of these systems necessitate adept knowledge and expertise, posing challenges for researchers and engineers. In response, this paper introduces IoT-AID, a Cyber Physical Recommendation System aim...",IoT Sensor Selection in Cyber-Physical Systems: Leveraging Large Language Models as Recommender Systems,10.1109/CoDIT62066.2024.10708357,2024.0,IEEE
2,"[::Customer service::] is crucial for any business to maintain good customer relationships and growth. However, addressing a wide variety of customer inquiries often requires deep domain expertise that may not be readily available. This paper presents TELLM, a [::customer service::] AI agent leveraging large [::language models::] to provide technical support for telecom companies. TELLM is trained...",TELLM: Advancements in Knowledge Incorporation and Task-specific Enhancements of Large Language Models,10.1109/ICEE63041.2024.10667786,2024.0,IEEE
3,"Large [::Language Models::] ([::LLMs::]) have demonstrated remarkable capabilities in various natural language processing tasks, garnering significant public interest, but their ability to perform deductive reasoning remains an open question. Understanding the [::quality::] of answers generated by [::language models::] is of increasing importance as they are becoming applied to real-world applicat...",Beyond Scale: Deductive Reasoning Capabilities in Large Language Models Through the Lens of the Wason Selection Task,10.1109/WNYISPW63690.2024.10786497,2024.0,IEEE
4,"With the continuous development of natural language processing technology, driven by the integration of large [::language models::], [::customer service::] artificial intelligence chatbots are developing in great strides, and have been involved and well applied in many fields. This project selects all kinds of school life and learning consultation based on the student handbook and curriculum arran...",A Chatbot for Learning and Life Guide in the University Based on LangChain+ChatGLM,10.1109/SEAI62072.2024.10674054,2024.0,IEEE
5,"In artistic gymnastics, difficulty score or D-score is used for judging performance. Starting from zero, an athlete earns points from different aspects such as composition requirement, difficulty, and connection between moves. The final score is a composition of the [::quality::] of various performance indicators. Similarly, when evaluating dialogue responses, human judges generally follow a numbe...",D-Score: Holistic Dialogue Evaluation Without Reference,10.1109/TASLP.2021.3074012,2021.0,IEEE
6,"Retrieval-Augmented Generation (RAG) systems are increasingly vital in developing AI assistants capable of answering complex queries by combining retrieval and generation capabilities. However, existing RAG systems often face limitations in retrieval efficiency, scalability, and the contextual relevance of generated responses. This study presents an enhanced RAG system that integrates the Scalable...",Leveraging Large Language Models: Enhancing Retrieval-Augmented Generation with ScaNN and Gemma for Superior AI Response,10.1109/ICMLCA63499.2024.10753879,2024.0,IEEE
7,"Complaint Large Language Model (Complaint-LLM) is designed as a &#34;[::customer service::]&#34; tool to address the scenario of handling a massive volume of public complaints, effectively leveraging the &#34;common sense&#34; possessed by Large [::Language Models::] ([::LLMs::]) to solve issues. Unfortunately, pre-trained [::LLMs::] often exhibit significant Factual Hallucination and Causal Errors in knowledge d...",Correcting Factuality Hallucination in Complaint Large Language Model via Entity-Augmented,10.1109/IJCNN60899.2024.10650208,2024.0,IEEE
8,"Mobile application (app) stores employ standardized mechanisms for rating hosted apps, typically in the form of free text reviews and numerical rating scales. App users use these mechanisms to express their opinions about their apps and discover apps that fit their specific needs. However, existing app rating systems do not take into account the operational characteristics of application domains. ...",Generating Rate Features for Mobile Applications,,2024.0,IEEE
9,"Statistical classification serves as the basis of national statistics such as the population census and economic census. Not only is it being used as the main basics for national policy establishment and execution (e.g SME support and employment stability), it is also used as a major classification criterion from the perspective of corporate analysis services such as economic, company, investment....",The Text Analysis Framework for Interactive Statistical Classification Service,10.1109/BigComp54360.2022.00092,2022.0,IEEE
10,"This work introduces an innovative system tailored for automated document processing and advanced question-answering. The dataset creation code employs PyMuPDF and NL TK, orchestrating a systematic extraction of textual information from PDF files. This methodical process extends to content tokenization, where the text is segmented into structured sentences, culminating in the creation of a Pandas ...",Mining Mate: A Chat Bot for Navigating Mining Regulations Using LLM Models,10.1109/ICACCS60874.2024.10716988,2024.0,IEEE
11,"Artificial intelligence-generated content based on big [::language models::] has been widely used in marketing, [::customer service::], education, entertainment, news and other fields. Business English programmes need to be integrated with innovation and entrepreneurship education to help students hone their international communication skills and innovative thinking to better meet the challenges o...",Optimisation of Random Forest Algorithm Based on Data Mining Analysis and Sparrow Search Analysis of the Impact of 'BM Innovative Thinking System' on Innovation and Entrepreneurship Education in Colleges and Universities,10.1109/ICCEA62105.2024.10604095,2024.0,IEEE
12,"Smart question answering (QA) systems have been the focus of research for many years. This is known to be a challenging task due to the randomness of user input. As deep learning technology is evolving fast, closed-domain QA systems based on frequently asked questions (FAQs) have already become a mature field. In the project, the team designed a mixture model based on deep learning and natural lan...",V-SBERT: A Mixture Model for Closed-Domain Question-Answering Systems Based on Natural Language Processing and Deep Learning,10.1109/DSIT60026.2023.00058,2023.0,IEEE
13,"Dialogue systems play a pivotal role in domains ranging from [::customer service::] to virtual assistance and education, using natural language to deliver information and resolve inquiries. Integrating Large [::Language Models::] ([::LLMs::]) has significantly boosted their capabilities and applications, underscoring their potential to facilitate more nuanced human-computer interactions. Despite t...",Flowlogue: A Novel Framework for Synthetic Dialogue Generation With Structured Flow From Text Passages,10.1109/ACCESS.2024.3409377,2024.0,IEEE
14,"The advanced large language model (LLM) ChatGPT has shown its potential in different domains and remains unbeaten due to its characteristics compared to other [::LLMs::]. This study aims to evaluate the potential of using a fine-tuned ChatGPT model as a personal medical assistant in the Arabic language. To do so, this study uses publicly available online questions and answering datasets in Arabic ...",Can ChatGPT be Your Personal Medical Assistant?,10.1109/SNAMS60348.2023.10375477,2023.0,IEEE
0,,"A survey on augmenting knowledge graphs (KGs) with large language models (LLMs): models, evaluation metrics, benchmarks, and challenges",10.1007/s44163-024-00175-8,2024.0,SpringerLink
1,,Analyzing evaluation methods for large language models in the medical field: a scoping review,10.1186/s12911-024-02709-7,2024.0,SpringerLink
2,,When large language models meet personalization: perspectives of challenges and opportunities,10.1007/s11280-024-01276-1,2024.0,SpringerLink
3,,Smart customer service in unmanned retail store enhanced by large language model,10.1038/s41598-024-71089-9,2024.0,SpringerLink
4,,Interactive computer-aided diagnosis on medical image using large language models,10.1038/s44172-024-00271-8,2024.0,SpringerLink
5,,"A phenomenology and epistemology of large language models: transparency, trust, and trustworthiness",10.1007/s10676-024-09777-3,2024.0,SpringerLink
6,,Bias of AI-generated content: an examination of news produced by large language models,10.1038/s41598-024-55686-2,2024.0,SpringerLink
7,,Reconciling the contrasting narratives on the environmental impact of large language models,10.1038/s41598-024-76682-6,2024.0,SpringerLink
8,,Evaluating large language models in analysing classroom dialogue,10.1038/s41539-024-00273-3,2024.0,SpringerLink
9,,An assessment of large language models for OpenMP-based code parallelization: a user perspective,10.1186/s40537-024-01019-z,2024.0,SpringerLink
10,,The Two Word Test as a semantic benchmark for large language models,10.1038/s41598-024-72528-3,2024.0,SpringerLink
11,,Accelerating materials language processing with large language models,10.1038/s43246-024-00449-9,2024.0,SpringerLink
12,,Sentiment Analysis in the Age of Generative AI,10.1007/s40547-024-00143-4,2024.0,SpringerLink
13,,LLM potentiality and awareness: a position paper from the perspective of trustworthy and responsible AI modeling,10.1007/s44163-024-00129-0,2024.0,SpringerLink
14,,Finance centralization—research on enterprise intelligence,10.1057/s41599-024-04098-8,2024.0,SpringerLink
15,,On-device query intent prediction with lightweight LLMs to support ubiquitous conversations,10.1038/s41598-024-63380-6,2024.0,SpringerLink
16,,Tc-llama 2: fine-tuning LLM for technology and commercialization applications,10.1186/s40537-024-00963-0,2024.0,SpringerLink
17,,Generative AI and Usage in Marketing Classroom,10.1007/s40547-024-00145-2,2024.0,SpringerLink
18,,Ethical considerations in working with ChatGPT on a questionnaire about the future of work with ChatGPT,10.1007/s43681-023-00312-6,2024.0,SpringerLink
19,,"Know Thyself, Improve Thyself: Personalized LLMs for Self-Knowledge and Moral Enhancement",10.1007/s11948-024-00518-9,2024.0,SpringerLink
20,,A multimodal approach to cross-lingual sentiment analysis with ensemble of transformer and LLM,10.1038/s41598-024-60210-7,2024.0,SpringerLink
21,,"Comparing the performance of ChatGPT-3.5-Turbo, ChatGPT-4, and Google Bard with Iranian students in pre-internship comprehensive exams",10.1038/s41598-024-79335-w,2024.0,SpringerLink
22,,The digital transformation of jurisprudence: an evaluation of ChatGPT-4’s applicability to solve cases in business law,10.1007/s10506-024-09406-w,2024.0,SpringerLink
23,,A novel solution for the development of a sentimental analysis chatbot integrating ChatGPT,10.1007/s00779-024-01824-6,2024.0,SpringerLink
24,,Understanding users’ responses to disclosed vs. undisclosed customer service chatbots: a mixed methods study,10.1007/s00146-023-01818-7,2024.0,SpringerLink
25,,Investigating the user experience of customer service chatbot interaction: a framework for qualitative analysis of chatbot dialogues,10.1007/s41233-021-00046-5,2021.0,SpringerLink
26,,Examining the Capabilities of GPT-4 to Write an APA-Style School Psychology Paper,10.1007/s40688-024-00500-z,2024.0,SpringerLink
27,,EmoTwiCS: a corpus for modelling emotion trajectories in Dutch customer service dialogues on Twitter,10.1007/s10579-023-09700-0,2024.0,SpringerLink
28,,"Business chatbots with deep learning technologies: state-of-the-art, taxonomies, and future research directions",10.1007/s10462-024-10744-z,2024.0,SpringerLink
29,,Unveiling the evolution of generative AI (GAI): a comprehensive and investigative analysis toward LLM models (2021–2024) and beyond,10.1186/s43067-024-00145-1,2024.0,SpringerLink
30,,A review of natural language processing in contact centre automation,10.1007/s10044-023-01182-8,2023.0,SpringerLink
31,,"Explainable Generative AI (GenXAI): a survey, conceptualization, and research agenda",10.1007/s10462-024-10916-x,2024.0,SpringerLink
32,,Cost-efficient prompt engineering for unsupervised entity resolution in the product matching domain,10.1007/s44163-024-00159-8,2024.0,SpringerLink
33,,Abstracts from the 2023 Annual Meeting of the Society of General Internal Medicine,10.1007/s11606-023-08226-z,2023.0,SpringerLink
34,,Unlocking financial innovation through strategic investments in information management: a systematic review,10.1007/s43621-024-00542-6,2024.0,SpringerLink
35,,"A systematic review of aspect-based sentiment analysis: domains, methods, and trends",10.1007/s10462-024-10906-z,2024.0,SpringerLink
36,,Generative artificial intelligence,10.1007/s12525-023-00680-1,2023.0,SpringerLink
37,,Generative AI,10.1007/s12599-023-00834-7,2024.0,SpringerLink
38,,Conversational AI and equity through assessing GPT-3’s communication with diverse social groups on contentious topics,10.1038/s41598-024-51969-w,2024.0,SpringerLink
39,,AI hype as a cyber security risk: the moral responsibility of implementing generative AI in business,10.1007/s43681-024-00443-4,2024.0,SpringerLink
40,,From text to multimodal: a survey of adversarial example generation in question answering systems,10.1007/s10115-024-02199-z,2024.0,SpringerLink
41,,Reliability and accuracy of artificial intelligence ChatGPT in providing information on ophthalmic diseases and management to patients,10.1038/s41433-023-02906-0,2024.0,SpringerLink
42,,CERN for AI: a theoretical framework for autonomous simulation-based artificial intelligence testing and alignment,10.1186/s40309-024-00238-0,2024.0,SpringerLink
43,,"Perception, concerns, and practice of ChatGPT among Egyptian pharmacists: a cross-sectional study in Egypt",10.1186/s12913-024-11815-1,2024.0,SpringerLink
44,,Hate speech detection in the Bengali language: a comprehensive survey,10.1186/s40537-024-00956-z,2024.0,SpringerLink
45,,Adopting automated bug assignment in practice — a longitudinal case study at Ericsson,10.1007/s10664-024-10507-y,2024.0,SpringerLink
46,,The mechanisms of AI hype and its planetary and social costs,10.1007/s43681-024-00461-2,2024.0,SpringerLink
47,,Multi-step Transfer Learning in Natural Language Processing for the Health Domain,10.1007/s11063-024-11526-y,2024.0,SpringerLink
48,,Using rhetorical strategies to design prompts: a human-in-the-loop approach to make AI useful,10.1007/s00146-024-01905-3,2024.0,SpringerLink
49,,Conversational question answering: a survey,10.1007/s10115-022-01744-y,2022.0,SpringerLink
50,,The GenAI is out of the bottle: generative artificial intelligence from a business model innovation perspective,10.1007/s11846-023-00696-z,2024.0,SpringerLink
51,,Systematic exploration and in-depth analysis of ChatGPT architectures progression,10.1007/s10462-024-10832-0,2024.0,SpringerLink
52,,Intelligent extraction of reservoir dispatching information integrating large language model and structured prompts,10.1038/s41598-024-64954-0,2024.0,SpringerLink
53,,Exploring the opportunities and challenges of ChatGPT in academia,10.1007/s44217-024-00114-w,2024.0,SpringerLink
54,,Mapping the Ethics of Generative AI: A Comprehensive Scoping Review,10.1007/s11023-024-09694-w,2024.0,SpringerLink
55,,ChatGPT as imperfect rhetorical tool in public policy,10.1007/s00146-024-02159-9,2024.0,SpringerLink
56,,A survey on providing customer and public administration based services using AI: chatbot,10.1007/s11042-021-11458-y,2022.0,SpringerLink
57,,"Ai4tech: X-AI enabling X-Tech with human-like, generative, decentralized, humanoid and metaverse AI",10.1007/s41060-024-00615-9,2024.0,SpringerLink
58,,DialGNN: Heterogeneous Graph Neural Networks for Dialogue Classification,10.1007/s11063-024-11595-z,2024.0,SpringerLink
59,,The Three Social Dimensions of Chatbot Technology,10.1007/s13347-024-00826-9,2024.0,SpringerLink
60,,Large language models and their big bullshit potential,10.1007/s10676-024-09802-5,2024.0,SpringerLink
61,,A review on emotion detection by using deep learning techniques,10.1007/s10462-024-10831-1,2024.0,SpringerLink
62,,MOBI-Qual: a common framework to manage the product-service system quality of shared mobility,10.1007/s10696-023-09520-y,2024.0,SpringerLink
63,,Deep emotion recognition in textual conversations: a survey,10.1007/s10462-024-11010-y,2024.0,SpringerLink
64,,"Risk management strategy for generative AI in computing education: how to handle the strengths, weaknesses, opportunities, and threats?",10.1186/s41239-024-00494-x,2024.0,SpringerLink
65,,Anticipating impacts: using large-scale scenario-writing to explore diverse implications of generative AI in the news environment,10.1007/s43681-024-00497-4,2024.0,SpringerLink
66,,Unleashing the transformers: NLP models detect AI writing in education,10.1007/s40692-024-00325-y,2024.0,SpringerLink
67,,Survey of transformers and towards ensemble learning using transformers for natural language processing,10.1186/s40537-023-00842-0,2024.0,SpringerLink
68,,An interpretable method for automated classification of spoken transcripts and written text,10.1007/s12065-023-00851-1,2024.0,SpringerLink
69,,Does ChatGPT show gender bias in behavior detection?,10.1057/s41599-024-04219-3,2024.0,SpringerLink
70,,Between artificial intelligence and customer experience: a literature review on the intersection,10.1007/s44163-024-00105-8,2024.0,SpringerLink
71,,Challenges with developing and deploying AI models and applications in industrial systems,10.1007/s44163-024-00151-2,2024.0,SpringerLink
72,,Exploring the mechanism of sustained consumer trust in AI chatbots after service failures: a perspective based on attribution and CASA theories,10.1057/s41599-024-03879-5,2024.0,SpringerLink
73,,Arithmetic N-gram: an efficient data compression technique,10.1007/s10791-024-09431-y,2024.0,SpringerLink
74,,"Artificial intelligence powered Metaverse: analysis, challenges and future perspectives",10.1007/s10462-023-10641-x,2024.0,SpringerLink
75,,Detection and moderation of detrimental content on social media platforms: current status and future directions,10.1007/s13278-022-00951-3,2022.0,SpringerLink
76,,Future directions for chatbot research: an interdisciplinary research agenda,10.1007/s00607-021-01016-7,2021.0,SpringerLink
77,,Towards practical artificial intelligence in Earth sciences,10.1007/s10596-024-10317-7,2024.0,SpringerLink
78,,Hyper-personalized employment in urban hubs: multimodal fusion architectures for personality-based job matching,10.1007/s00521-024-10587-3,2024.0,SpringerLink
79,,How to keep text private? A systematic review of deep learning methods for privacy-preserving natural language processing,10.1007/s10462-022-10204-6,2023.0,SpringerLink
80,,Chinese dialect speech recognition: a comprehensive survey,10.1007/s10462-023-10668-0,2024.0,SpringerLink
81,,Answer Agnostic Question Generation in Bangla Language,10.1007/s44227-023-00018-5,2024.0,SpringerLink
82,,Decent deepfakes? Professional deepfake developers’ ethical considerations and their governance potential,10.1007/s43681-024-00542-2,2024.0,SpringerLink
83,,Designs and practices using generative AI for sustainable student discourse and knowledge creation,10.1186/s40561-023-00279-1,2023.0,SpringerLink
84,,Securing tomorrow: a comprehensive survey on the synergy of Artificial Intelligence and information security,10.1007/s43681-024-00529-z,2024.0,SpringerLink
85,,"“The ChatGPT bot is causing panic now – but it’ll soon be as mundane a tool as Excel”: analysing topics, sentiment and emotions relating to ChatGPT on Twitter",10.1007/s00779-024-01811-x,2024.0,SpringerLink
86,,Data-driven subjective performance evaluation: An attentive deep neural networks model based on a call centre case,10.1007/s10479-022-04874-2,2024.0,SpringerLink
87,,Rethinking feminized service bots: user responses to abstract and gender-ambiguous chatbot avatars in a large-scale interaction study,10.1007/s00779-024-01830-8,2024.0,SpringerLink
88,,Sentiment-based predictive models for online purchases in the era of marketing 5.0: a systematic review,10.1186/s40537-024-00947-0,2024.0,SpringerLink
89,,The HoPE Model Architecture: a Novel Approach to Pregnancy Information Retrieval Based on Conversational Agents,10.1007/s41666-022-00115-0,2022.0,SpringerLink
90,,The role of artificial intelligence algorithms in information systems research: a conceptual overview and avenues for research,10.1007/s11301-024-00451-y,2024.0,SpringerLink
91,,Argumentation effect of a chatbot for ethical discussions about autonomous AI scenarios,10.1007/s10115-024-02074-x,2024.0,SpringerLink
92,,Supporting SME companies in mapping out AI potential: a Finnish AI development case,10.1007/s10961-024-10122-5,2024.0,SpringerLink
93,,Instance segmentation on distributed deep learning big data cluster,10.1186/s40537-023-00871-9,2024.0,SpringerLink
94,,Harnessing the integration of chat GPT in higher education: the evaluation of stakeholders sentiments using NLP techniques,10.1007/s43621-024-00774-6,2024.0,SpringerLink
95,,"ChatGPT in pharmacy practice: a cross-sectional exploration of Jordanian pharmacists' perception, practice, and concerns",10.1186/s40545-023-00624-2,2023.0,SpringerLink
96,,"Sentiment analysis: A survey on design framework, applications and future scopes",10.1007/s10462-023-10442-2,2023.0,SpringerLink
