abstract;articleTitle;doi;publicationYear;source
[::Customer service::] is very important in many industrial fields, and the service [::quality::] is most essential. However, [::customer service::] practitioners are with a high turnover rate, and it usually takes months for a new [::customer service::] employee to be an experienced one. If the training of new employees is conducted by other experienced employees, there will be a high resource co...;-;10.1109/SMC53992.2023.10394182;2023.0;IEEE
The emergence of Industry 4.0 has led a significant shift towards the widespread integration of Cyber Physical Systems(CPSs) across diverse industrial domains. Yet, the intricate design and implementation of these systems necessitate adept knowledge and expertise, posing challenges for researchers and engineers. In response, this paper introduces IoT-AID, a Cyber Physical Recommendation System aim...;-;10.1109/CoDIT62066.2024.10708357;2024.0;IEEE
[::Customer service::] is crucial for any business to maintain good customer relationships and growth. However, addressing a wide variety of customer inquiries often requires deep domain expertise that may not be readily available. This paper presents TELLM, a [::customer service::] AI agent leveraging large [::language models::] to provide technical support for telecom companies. TELLM is trained...;-;10.1109/ICEE63041.2024.10667786;2024.0;IEEE
Large [::Language Models::] ([::LLMs::]) have demonstrated remarkable capabilities in various natural language processing tasks, garnering significant public interest, but their ability to perform deductive reasoning remains an open question. Understanding the [::quality::] of answers generated by [::language models::] is of increasing importance as they are becoming applied to real-world applicat...;-;10.1109/WNYISPW63690.2024.10786497;2024.0;IEEE
With the continuous development of natural language processing technology, driven by the integration of large [::language models::], [::customer service::] artificial intelligence chatbots are developing in great strides, and have been involved and well applied in many fields. This project selects all kinds of school life and learning consultation based on the student handbook and curriculum arran...;-;10.1109/SEAI62072.2024.10674054;2024.0;IEEE
In artistic gymnastics, difficulty score or D-score is used for judging performance. Starting from zero, an athlete earns points from different aspects such as composition requirement, difficulty, and connection between moves. The final score is a composition of the [::quality::] of various performance indicators. Similarly, when evaluating dialogue responses, human judges generally follow a numbe...;-;10.1109/TASLP.2021.3074012;2021.0;IEEE
Retrieval-Augmented Generation (RAG) systems are increasingly vital in developing AI assistants capable of answering complex queries by combining retrieval and generation capabilities. However, existing RAG systems often face limitations in retrieval efficiency, scalability, and the contextual relevance of generated responses. This study presents an enhanced RAG system that integrates the Scalable...;-;10.1109/ICMLCA63499.2024.10753879;2024.0;IEEE
"Complaint Large Language Model (Complaint-LLM) is designed as a &#34;[::customer service::]&#34; tool to address the scenario of handling a massive volume of public complaints, effectively leveraging the &#34;common sense&#34; possessed by Large [::Language Models::] ([::LLMs::]) to solve issues. Unfortunately, pre-trained [::LLMs::] often exhibit significant Factual Hallucination and Causal Errors in knowledge d...";-;10.1109/IJCNN60899.2024.10650208;2024.0;IEEE
Mobile application (app) stores employ standardized mechanisms for rating hosted apps, typically in the form of free text reviews and numerical rating scales. App users use these mechanisms to express their opinions about their apps and discover apps that fit their specific needs. However, existing app rating systems do not take into account the operational characteristics of application domains. ...;-;;2024.0;IEEE
Statistical classification serves as the basis of national statistics such as the population census and economic census. Not only is it being used as the main basics for national policy establishment and execution (e.g SME support and employment stability), it is also used as a major classification criterion from the perspective of corporate analysis services such as economic, company, investment....;-;10.1109/BigComp54360.2022.00092;2022.0;IEEE
This work introduces an innovative system tailored for automated document processing and advanced question-answering. The dataset creation code employs PyMuPDF and NL TK, orchestrating a systematic extraction of textual information from PDF files. This methodical process extends to content tokenization, where the text is segmented into structured sentences, culminating in the creation of a Pandas ...;-;10.1109/ICACCS60874.2024.10716988;2024.0;IEEE
Artificial intelligence-generated content based on big [::language models::] has been widely used in marketing, [::customer service::], education, entertainment, news and other fields. Business English programmes need to be integrated with innovation and entrepreneurship education to help students hone their international communication skills and innovative thinking to better meet the challenges o...;-;10.1109/ICCEA62105.2024.10604095;2024.0;IEEE
Smart question answering (QA) systems have been the focus of research for many years. This is known to be a challenging task due to the randomness of user input. As deep learning technology is evolving fast, closed-domain QA systems based on frequently asked questions (FAQs) have already become a mature field. In the project, the team designed a mixture model based on deep learning and natural lan...;-;10.1109/DSIT60026.2023.00058;2023.0;IEEE
Dialogue systems play a pivotal role in domains ranging from [::customer service::] to virtual assistance and education, using natural language to deliver information and resolve inquiries. Integrating Large [::Language Models::] ([::LLMs::]) has significantly boosted their capabilities and applications, underscoring their potential to facilitate more nuanced human-computer interactions. Despite t...;-;10.1109/ACCESS.2024.3409377;2024.0;IEEE
The advanced large language model (LLM) ChatGPT has shown its potential in different domains and remains unbeaten due to its characteristics compared to other [::LLMs::]. This study aims to evaluate the potential of using a fine-tuned ChatGPT model as a personal medical assistant in the Arabic language. To do so, this study uses publicly available online questions and answering datasets in Arabic ...;-;10.1109/SNAMS60348.2023.10375477;2023.0;IEEE
;-;10.1007/s44163-024-00175-8;2024.0;SpringerLink
;-;10.1186/s12911-024-02709-7;2024.0;SpringerLink
;-;10.1007/s11280-024-01276-1;2024.0;SpringerLink
;Smart customer service in unmanned retail store enhanced by large language model;10.1038/s41598-024-71089-9;2024.0;SpringerLink
;-;10.1038/s44172-024-00271-8;2024.0;SpringerLink
;-;10.1007/s10676-024-09777-3;2024.0;SpringerLink
;-;10.1038/s41598-024-55686-2;2024.0;SpringerLink
;-;10.1038/s41598-024-76682-6;2024.0;SpringerLink
;-;10.1038/s41539-024-00273-3;2024.0;SpringerLink
;-;10.1186/s40537-024-01019-z;2024.0;SpringerLink
;-;10.1038/s41598-024-72528-3;2024.0;SpringerLink
;-;10.1038/s43246-024-00449-9;2024.0;SpringerLink
;-;10.1007/s40547-024-00143-4;2024.0;SpringerLink
;-;10.1007/s44163-024-00129-0;2024.0;SpringerLink
;-;10.1057/s41599-024-04098-8;2024.0;SpringerLink
;-;10.1038/s41598-024-63380-6;2024.0;SpringerLink
;Tc-llama 2: fine-tuning LLM for technology and commercialization applications;10.1186/s40537-024-00963-0;2024.0;SpringerLink
;-;10.1007/s40547-024-00145-2;2024.0;SpringerLink
;-;10.1007/s43681-023-00312-6;2024.0;SpringerLink
;-;10.1007/s11948-024-00518-9;2024.0;SpringerLink
;-;10.1038/s41598-024-60210-7;2024.0;SpringerLink
;-;10.1038/s41598-024-79335-w;2024.0;SpringerLink
;-;10.1007/s10506-024-09406-w;2024.0;SpringerLink
;-;10.1007/s00779-024-01824-6;2024.0;SpringerLink
;Understanding users’ responses to disclosed vs. undisclosed customer service chatbots: a mixed methods study;10.1007/s00146-023-01818-7;2024.0;SpringerLink
;Investigating the user experience of customer service chatbot interaction: a framework for qualitative analysis of chatbot dialogues;10.1007/s41233-021-00046-5;2021.0;SpringerLink
;-;10.1007/s40688-024-00500-z;2024.0;SpringerLink
;-;10.1007/s10579-023-09700-0;2024.0;SpringerLink
;Business chatbots with deep learning technologies: state-of-the-art, taxonomies, and future research directions;10.1007/s10462-024-10744-z;2024.0;SpringerLink
;-;10.1186/s43067-024-00145-1;2024.0;SpringerLink
;A review of natural language processing in contact centre automation;10.1007/s10044-023-01182-8;2023.0;SpringerLink
;-;10.1007/s10462-024-10916-x;2024.0;SpringerLink
;-;10.1007/s44163-024-00159-8;2024.0;SpringerLink
;-;10.1007/s11606-023-08226-z;2023.0;SpringerLink
;-;10.1007/s43621-024-00542-6;2024.0;SpringerLink
;-;10.1007/s10462-024-10906-z;2024.0;SpringerLink
;-;10.1007/s12525-023-00680-1;2023.0;SpringerLink
;-;10.1007/s12599-023-00834-7;2024.0;SpringerLink
;-;10.1038/s41598-024-51969-w;2024.0;SpringerLink
;-;10.1007/s43681-024-00443-4;2024.0;SpringerLink
;-;10.1007/s10115-024-02199-z;2024.0;SpringerLink
;-;10.1038/s41433-023-02906-0;2024.0;SpringerLink
;-;10.1186/s40309-024-00238-0;2024.0;SpringerLink
;-;10.1186/s12913-024-11815-1;2024.0;SpringerLink
;-;10.1186/s40537-024-00956-z;2024.0;SpringerLink
;-;10.1007/s10664-024-10507-y;2024.0;SpringerLink
;-;10.1007/s43681-024-00461-2;2024.0;SpringerLink
;-;10.1007/s11063-024-11526-y;2024.0;SpringerLink
;-;10.1007/s00146-024-01905-3;2024.0;SpringerLink
;-;10.1007/s10115-022-01744-y;2022.0;SpringerLink
;-;10.1007/s11846-023-00696-z;2024.0;SpringerLink
;-;10.1007/s10462-024-10832-0;2024.0;SpringerLink
;-;10.1038/s41598-024-64954-0;2024.0;SpringerLink
;-;10.1007/s44217-024-00114-w;2024.0;SpringerLink
;-;10.1007/s11023-024-09694-w;2024.0;SpringerLink
;-;10.1007/s00146-024-02159-9;2024.0;SpringerLink
;A survey on providing customer and public administration based services using AI: chatbot;10.1007/s11042-021-11458-y;2022.0;SpringerLink
;-;10.1007/s41060-024-00615-9;2024.0;SpringerLink
;-;10.1007/s11063-024-11595-z;2024.0;SpringerLink
;-;10.1007/s13347-024-00826-9;2024.0;SpringerLink
;-;10.1007/s10676-024-09802-5;2024.0;SpringerLink
;-;10.1007/s10462-024-10831-1;2024.0;SpringerLink
;-;10.1007/s10696-023-09520-y;2024.0;SpringerLink
;-;10.1007/s10462-024-11010-y;2024.0;SpringerLink
;-;10.1186/s41239-024-00494-x;2024.0;SpringerLink
;-;10.1007/s43681-024-00497-4;2024.0;SpringerLink
;-;10.1007/s40692-024-00325-y;2024.0;SpringerLink
;-;10.1186/s40537-023-00842-0;2024.0;SpringerLink
;-;10.1007/s12065-023-00851-1;2024.0;SpringerLink
;-;10.1057/s41599-024-04219-3;2024.0;SpringerLink
;-;10.1007/s44163-024-00105-8;2024.0;SpringerLink
;-;10.1007/s44163-024-00151-2;2024.0;SpringerLink
;-;10.1057/s41599-024-03879-5;2024.0;SpringerLink
;-;10.1007/s10791-024-09431-y;2024.0;SpringerLink
;-;10.1007/s10462-023-10641-x;2024.0;SpringerLink
;-;10.1007/s13278-022-00951-3;2022.0;SpringerLink
;-;10.1007/s00607-021-01016-7;2021.0;SpringerLink
;-;10.1007/s10596-024-10317-7;2024.0;SpringerLink
;-;10.1007/s00521-024-10587-3;2024.0;SpringerLink
;-;10.1007/s10462-022-10204-6;2023.0;SpringerLink
;-;10.1007/s10462-023-10668-0;2024.0;SpringerLink
;-;10.1007/s44227-023-00018-5;2024.0;SpringerLink
;-;10.1007/s43681-024-00542-2;2024.0;SpringerLink
;-;10.1186/s40561-023-00279-1;2023.0;SpringerLink
;-;10.1007/s43681-024-00529-z;2024.0;SpringerLink
;-;10.1007/s00779-024-01811-x;2024.0;SpringerLink
;-;10.1007/s10479-022-04874-2;2024.0;SpringerLink
;-;10.1007/s00779-024-01830-8;2024.0;SpringerLink
;-;10.1186/s40537-024-00947-0;2024.0;SpringerLink
;The HoPE Model Architecture: a Novel Approach to Pregnancy Information Retrieval Based on Conversational Agents;10.1007/s41666-022-00115-0;2022.0;SpringerLink
;-;10.1007/s11301-024-00451-y;2024.0;SpringerLink
;-;10.1007/s10115-024-02074-x;2024.0;SpringerLink
;-;10.1007/s10961-024-10122-5;2024.0;SpringerLink
;-;10.1186/s40537-023-00871-9;2024.0;SpringerLink
;-;10.1007/s43621-024-00774-6;2024.0;SpringerLink
;-;10.1186/s40545-023-00624-2;2023.0;SpringerLink
;-;10.1007/s10462-023-10442-2;2023.0;SpringerLink
;-;10.1007/s11292-024-09644-7;2024.0;SpringerLink
;-;10.1007/s11042-024-20414-5;2024.0;SpringerLink
;Natural language inference model for customer advocacy detection in online customer engagement;10.1007/s10994-023-06476-w;2024.0;SpringerLink
;-;10.1007/s40593-019-00182-2;2019.0;SpringerLink
;-;10.1007/s11277-023-10312-8;2023.0;SpringerLink
;-;10.1007/s44163-023-00089-x;2023.0;SpringerLink
;-;10.1007/s10462-024-10859-3;2024.0;SpringerLink
;-;10.1038/s41598-024-73359-y;2024.0;SpringerLink
;-;10.1007/s40962-023-01025-6;2023.0;SpringerLink
;-;10.1007/s10660-024-09896-5;2024.0;SpringerLink
;-;10.1186/s41239-023-00412-7;2023.0;SpringerLink
;-;10.1057/s41599-024-04025-x;2024.0;SpringerLink
;-;10.1007/s13132-023-01587-0;2024.0;SpringerLink
;-;10.1038/s41598-024-80378-2;2024.0;SpringerLink
;-;10.1007/s40747-024-01538-5;2024.0;SpringerLink
;-;10.1057/s41599-024-03839-z;2024.0;SpringerLink
;-;10.1007/s11245-024-10018-x;2024.0;SpringerLink
;-;10.1007/s10462-024-10967-0;2024.0;SpringerLink
;-;10.1007/s40839-024-00244-1;2024.0;SpringerLink
;-;10.1007/s10676-024-09745-x;2024.0;SpringerLink
;-;10.1007/s10462-021-10030-2;2021.0;SpringerLink
;-;10.1057/s41599-022-01325-y;2022.0;SpringerLink
;-;10.1186/s41239-023-00426-1;2023.0;SpringerLink
;-;10.1038/s41598-024-79793-2;2024.0;SpringerLink
;Auto Response Generation in Online Medical Chat Services;10.1007/s41666-022-00118-x;2022.0;SpringerLink
;-;10.1007/s10579-024-09766-4;2024.0;SpringerLink
