abstract;articleTitle;doi;publicationYear;source
;Smart customer service in unmanned retail store enhanced by large language model;10.1038/s41598-024-71089-9;2024.0;SpringerLink
;Tc-llama 2: fine-tuning LLM for technology and commercialization applications;10.1186/s40537-024-00963-0;2024.0;SpringerLink
;Understanding users’ responses to disclosed vs. undisclosed customer service chatbots: a mixed methods study;10.1007/s00146-023-01818-7;2024.0;SpringerLink
;Investigating the user experience of customer service chatbot interaction: a framework for qualitative analysis of chatbot dialogues;10.1007/s41233-021-00046-5;2021.0;SpringerLink
;Business chatbots with deep learning technologies: state-of-the-art, taxonomies, and future research directions;10.1007/s10462-024-10744-z;2024.0;SpringerLink
;A review of natural language processing in contact centre automation;10.1007/s10044-023-01182-8;2023.0;SpringerLink
;A survey on providing customer and public administration based services using AI: chatbot;10.1007/s11042-021-11458-y;2022.0;SpringerLink
;Natural language inference model for customer advocacy detection in online customer engagement;10.1007/s10994-023-06476-w;2024.0;SpringerLink
;Auto Response Generation in Online Medical Chat Services;10.1007/s41666-022-00118-x;2022.0;SpringerLink
;Deploying artificial intelligence in services to AID vulnerable consumers;10.1007/s11747-023-00986-8;2024.0;SpringerLink
;NLP-based platform as a service: a brief review;10.1186/s40537-022-00603-5;2022.0;SpringerLink
;Enhancing medical education with chatbots: a randomized controlled trial on standardized patients for colorectal cancer;10.1186/s12909-024-06530-8;2024.0;SpringerLink
;Shaping the causes of product returns: topic modeling on online customer reviews;10.1007/s10660-024-09901-x;2024.0;SpringerLink
;Voice bots on the frontline: Voice-based interfaces enhance flow-like consumer experiences & boost service outcomes;10.1007/s11747-022-00868-5;2023.0;SpringerLink
;Not with the bot! The relevance of trust to explain the acceptance of chatbots by insurance customers;10.1057/s41599-024-02621-5;2024.0;SpringerLink
;Discovering patterns and trends in customer service technologies patents using large language model;10.1016/j.heliyon.2024.e34701;2024.0;ScienceDirect
;A prototype of a conversational virtual university support agent powered by a large language model that addresses inquiries about policies in the student handbook;10.1016/j.procs.2024.06.278;2024.0;ScienceDirect
;Leveraging Large Language Models for Improved Understanding of Communications With Patients With Cancer in a Call Center Setting: Proof-of-Concept Study;10.2196/63892;2024.0;ScienceDirect
;Performance of Large Language Models in Patient Complaint Resolution: Web-Based Cross-Sectional Survey;10.2196/56413;2024.0;ScienceDirect
;LLMs in e-commerce: A comparative analysis of GPT and LLaMA models in product review evaluation;10.1016/j.nlp.2024.100056;2024.0;ScienceDirect
;Customer service chatbot enhancement with attention-based transfer learning;10.1016/j.knosys.2024.112293;2024.0;ScienceDirect
;Enhancing Customer Support in Banking: Leveraging AI for Efficient Ticket Classification;10.1016/j.procs.2024.09.235;2024.0;ScienceDirect
;Key technologies of artificial intelligence in electric power customer service;10.1016/j.gloei.2022.01.005;2021.0;ScienceDirect
;Understanding the joint effects of internal and external anthropomorphic cues of intelligent customer service bot on user satisfaction;10.1016/j.dim.2023.100047;2023.0;ScienceDirect
;Real Estate with AI: An agent based on LangChain;10.1016/j.procs.2024.08.199;2024.0;ScienceDirect
;Creational and conversational AI affordances: How the new breed of chatbots is revolutionizing knowledge industries;10.1016/j.bushor.2024.05.006;2024.0;ScienceDirect
;ChatReview: A ChatGPT-enabled natural language processing framework to study domain-specific user reviews;10.1016/j.mlwa.2023.100522;2024.0;ScienceDirect
;Adapting the GPT engine for proactive customer insight extraction in product development;10.1016/j.mfglet.2024.09.164;2024.0;ScienceDirect
;Sentiment Analysis of Customer Feedback and Reviews for Airline Services using Language Representation Model;10.1016/j.procs.2023.01.221;2023.0;ScienceDirect
;A method for improving bot effectiveness by recognising implicit customer intent in contact centre conversations;10.1016/j.specom.2022.07.003;2022.0;ScienceDirect
;Enhancing trust in online grocery shopping through generative AI chatbots;10.1016/j.jbusres.2024.114737;2024.0;ScienceDirect
;The role of conversational AI agents in providing support and social care for isolated individuals;10.1016/j.aej.2024.07.098;2024.0;ScienceDirect
;Network-integrated medical chatbot for enhanced healthcare services;10.1016/j.teler.2024.100153;2024.0;ScienceDirect
;Generative AI in Responsible Conversational Agent Integration: Guidelines for Service Managers;10.1016/j.orgdyn.2024.101045;2024.0;ScienceDirect
