abstract;articleTitle;doi;publicationYear;source
;Smart customer service in unmanned retail store enhanced by large language model;10.1038/s41598-024-71089-9;2024.0;SpringerLink
;Investigating the user experience of customer service chatbot interaction: a framework for qualitative analysis of chatbot dialogues;10.1007/s41233-021-00046-5;2021.0;SpringerLink
;Business chatbots with deep learning technologies: state-of-the-art, taxonomies, and future research directions;10.1007/s10462-024-10744-z;2024.0;SpringerLink
;A review of natural language processing in contact centre automation;10.1007/s10044-023-01182-8;2023.0;SpringerLink
;A survey on providing customer and public administration based services using AI: chatbot;10.1007/s11042-021-11458-y;2022.0;SpringerLink
;Natural language inference model for customer advocacy detection in online customer engagement;10.1007/s10994-023-06476-w;2024.0;SpringerLink
;Auto Response Generation in Online Medical Chat Services;10.1007/s41666-022-00118-x;2022.0;SpringerLink
;Shaping the causes of product returns: topic modeling on online customer reviews;10.1007/s10660-024-09901-x;2024.0;SpringerLink
;Discovering patterns and trends in customer service technologies patents using large language model;10.1016/j.heliyon.2024.e34701;2024.0;ScienceDirect
;A prototype of a conversational virtual university support agent powered by a large language model that addresses inquiries about policies in the student handbook;10.1016/j.procs.2024.06.278;2024.0;ScienceDirect
;Leveraging Large Language Models for Improved Understanding of Communications With Patients With Cancer in a Call Center Setting: Proof-of-Concept Study;10.2196/63892;2024.0;ScienceDirect
;Performance of Large Language Models in Patient Complaint Resolution: Web-Based Cross-Sectional Survey;10.2196/56413;2024.0;ScienceDirect
;LLMs in e-commerce: A comparative analysis of GPT and LLaMA models in product review evaluation;10.1016/j.nlp.2024.100056;2024.0;ScienceDirect
;Customer service chatbot enhancement with attention-based transfer learning;10.1016/j.knosys.2024.112293;2024.0;ScienceDirect
;Enhancing Customer Support in Banking: Leveraging AI for Efficient Ticket Classification;10.1016/j.procs.2024.09.235;2024.0;ScienceDirect
;Real Estate with AI: An agent based on LangChain;10.1016/j.procs.2024.08.199;2024.0;ScienceDirect
;ChatReview: A ChatGPT-enabled natural language processing framework to study domain-specific user reviews;10.1016/j.mlwa.2023.100522;2024.0;ScienceDirect
;Adapting the GPT engine for proactive customer insight extraction in product development;10.1016/j.mfglet.2024.09.164;2024.0;ScienceDirect
